publication_view.author;publication_view.publication_title;publication_view.publication_year
Molodkov, A.N.;ESR analyses of subfossil mollusc shells from Treugolnaya;2007;
Moncel, M.-H.;Baume Flandin et Abri du Maras: deux exemples de débitage laminaire du début du Pléistocène supérieur dans la Vallée du Rhône (sud-est, France);2005;
Moncel, M.-H.;L'Industrie lithique de la grotte Scladina (Sclayn). La couche mousterienne 1A;1998;
Moncel, M.-H.;L'industrie lithique de la grotte Scladina (Sclayn). La couche mousterienne eemienne 5;1998;
Moncel, M.-H.;L'industrie lithique du Paléolithique moyen de l'abri du Maras (Ardèche). Fouilles de René Gilles et de Jean Combier. La question des Moustériens tardifs et du débitage laminaire au Paléolithique moyen;1996;
Moncel, M.-H.;Le Mousterien de la grotte du Ranc Pointu (Ardeche). Fouilles Rene Gilles et Jean Combier;1996;
Moncel, M.-H.;Le Moustérien de type Quina de la grotte du Figuier (Ardèche);2001;
Moncel, M.-H.;Le site de Payre et son remplissage;2008;
Moncel, M.-H.;Les niveaux mousteriens de la grotte de Saint-Marcel (Ardeche). Fouilles Rene Gilles. Reconnaissance de niveaux a debitage discoide dans la vallee du Rhone;1998;
Moncel, M.-H.;Les niveaux profonds du site Pléistocène moyen d'Orgnac 3 (Ardèche, France): habitat, repaire, aven-piège? L'exemple du niveau 6;1996;
Moncel, M.-H., Allué, E., Bailon, S., Barshay-Szmidt, C., Béarez, P., Crégut, É., Daujeard, C., Desclaux, E., Debard, É., Lartigot-Campin, A.-S., Puaud, S., Roger, T.;Evaluating the integrity of palaeoenvironmental and archaeological records in MIS 5 to 3 karst sequences from southeastern France;2015;
Moncel, M.-H., Ashton, N., Lamotte, A., Tuffreau, A., Cliquet, D., Despriée, J.;The Early Acheulian of north-western Europe;2015;
Moncel, M.-H., Bahain, J.-J., Falguères, C., Masaoudi, H., Mjahad, M., Patou-Mathis, M., Renault-Miskovsky, J., Hazzazi, N., Kalai, C.;Le site de Payre (Commune de Rompon, Ardèche): Un site paléolithique moyen ancien dans un contexte d'abri effondré;1993;
Moncel, M.-H., Borel, A., De Lombera, A., Sala, R., Deniaux, B.;Quartz et quartzite dans le site de Payre (MIS7 et 5, Ardeche, France);2008;
Moncel, M.-H., Chacón, M.G., La Porta, A.O., Fernandes, P., Hardy, B.L., Gallotti, R.;Fragmented reduction processes: Middle Palaeolithic technical behaviour in the Abri du Maras shelter, southeastern France;2014;
Moncel, M.-H., Chacón, M.G., Vettese, D., Courty, M.-A., Deaujeard, C., Eixea, A., Fernandes, P., Allué, E., Hardy, B.L., Rivals, F., Béarez, P., Gallotti, R., Puaud, S.;Late Neanderthal short-term and specialized occupations at the Abri du Maras (South-East France, level 4.1, MIS 3);2021;
Moncel, M.-H., Combier, J.;L'exploitation de l'espace au Pléistocène moyen. L'approvisionnement en matières premières lithiques. L'exemple du site d'Orgnac 3 (Ardèche, France);1990;
Moncel, M.-H., Combier, J.;L'industrie lithique du site pléistocène moyen d'Orgnac 3 (Ardèche);1992;
Moncel, M.-H., Crégut-Bonnoure, É., Daujeard, C., Lartigot, A.-S., Lebon, M., Puaud, S., Boulbes, N., Croizet, S.;Le site de la baume Flandin (commune d'Orgnac - l'Aven): nouvelles données sur ce gisement du Paléolithique moyen;2008;
Moncel, M.-H., Daujeard, C., Crégut-Bonnoure, E., Fernandez, P., Faure, M., Guérin, C.;L'occupation de la grotte de Saint-Marcel (Ardèche, France) au Paléolithique moyen: stratégie d'exploitation de l'environnement et type d'occupation de la grotte. L'exemple des couches i, j et j';2004;
Moncel, M.-H., Daujeard, C., Crégut-Bonnoure, É., Boulbes, N., Puaud, S., Debard, E., Bailon, S., Desclaux, E., Escudé, É., Roger, T., Dubar, M.;Nouvelles données sur les occupations humaines du debut du Pleistocene superieur de la moyenne vallee du Rhone (France). Les sites de l'Abri des Pêcheurs, de la Baume Flandin, de l'Abri du Maras et de la Grotte du Figuier (Ardeche);2010;
Moncel, M.-H., Debard, E.;Phases d'occupations humaines. Répartition stratigraphique du matériel archéologique;2008;
Moncel, M.-H., Debard, E., Dubois, J.-M.;Remplissage et occupations humaines;2008;
Moncel, M.-H., Fernandes, P.;Matières premières, type d'approvisionnement et traitement des roches;2008;
Moncel, M.-H., Gaillard, C., Patou-Mathis, M.;L'abri du Maras (Ardèche): une nouvelle campagne de fouilles dans un site Paléolithique moyen (1993);1994;
Moncel, M.-H., García-Medrano, P., Despriée, J., Arnaud, J., Voinchet, P., Bahain, J.-J.;Tracking behavioral persistence and innovations during the Middle Pleistocene in Western Europe. Shift in occupations between 700 and 450 ka at la Noira site (Centre, France);2021;
Moncel, M.-H., Gema, C.M., Coudenneau, A., Fernandes, P.;Points and convergent tools in the European Early Middle Palaeolithic site of Payre (SE, France);2009;
Moncel, M.-H., Michel, V.;Première datation radiométrique par U-Th d'un niveau moustérien de l'Abri du Maras (Ardèche, France);2000;
Moncel, M.-H., Moigne, A.-M., Sam, Y., Combier, J.;The Emergence of Neanderthal Technical Behavior: New Evidence from Orgnac 3 (Level 1, MIS 8), Southeastern France;2011;
Moncel, M.-H., Puaud, S., Daujeard, C., Lateur, N., Lartigot-Campin, A.-S., Debard, É., Crégut-Bonnoure, E., Raynal, J.-P.;Le site du Ranc-Pointu no 2 à Saint-Martin-d’Ardèche: une occupation du Paléolithique moyen ancien dans le Sud-Est de la France;2014;
Moncel, M.-H., Puaud, S., Deaujeard, C., Lartigot-Campin, A.-S., Millet, J.-J., Theodoropoulou, A., Cregut-Bonnoure, É., Gély, B., Vercoutere, C., Desclaux, E., Roger, T., Bourges, F.;La Grotte du Figuier (Saint-Martin-d’Ardèche): bilan des travaux récents sur un site du Paléolithique moyen et supérieur de la moyenne vallée du Rhône (Sud-Est de la France);2012;
Moncel, M.-H., Santagata, C., Pereira, A., Nomade, S., Bahain, J.-J., Voinchet, P., Piperno, M.;A biface production older than 600 ka ago at Notarchirico (Southern Italy) contribution to understanding early Acheulean cognition and skills in Europe;2019;
Moncel, M.-H., Santagata, C., Pereira, A., Nomade, S., Voinchet, P., Bahain, J.-J., Daujeard, C., Curci, A., Lemorini, C., Hardy, B., Eramo, G., Berto, C., Raynal, J.-P., Arzarello, M., Mecozzi, B., Iannucci, A., Sardella, R., Allegretta, I., Delluniversità, E., Terzano, R., Dugas, P., Jouanic, G., Queffelec, A., d’Andrea, A., Valentini, R., Minucci, E., Carpentiero, L., Piperno, M.;The origin of early Acheulean expansion in Europe 700 ka ago: new findings at Notarchirico (Italy);2020;
Moncel, M.H., Pleurdeau, D., Pinhasi, R., Yeshurun, R., Agapishvili, T., Chevalier, T., Bourdonnec, F.-X., Poupeau, G., Nomade, S., Jennings, R., Higham, T.F.G., Tushabramishvili, N., Lordkipanidze, D.;The middle palaeolithic record of Georgia: A synthesis of the technological, economic and paleoanthropological aspects;2014;
Moncel, M.H., Pleurdeau, D., Tushubramishvili, N., Yeshurun, R., Agapishvili, T., Pinhasi, R., Higham, T.F.G.;Preliminary results from the new excavations of the Middle and Upper Palaeolithic levels at Ortvale Klde-north chamber (South Caucasus Georgia);2013;
Monchot, H., Aouraghe, H.;Deciphering the Taphonomic History of an Upper Paleolithic Faunal Assemblage from Zouhrah Cave/El Harhoura 1, Morocco;2009;
Monnier, G.F., Hauck, T.C., Feinberg, J.M., Luo, B., Le Tensorer, J.-M., al Sakhel, H.;A multi-analytical methodology of lithic residue analysis applied to Paleolithic tools from Hummal, Syria;2013;
Monnier, G.F., Missal, K.;Another Mousterian Debate? Bordian facies, chaîne opératoire technocomplexes, and patterns of lithic variability in the western European Middle and Upper Pleistocene;2014;
Monnier, J.-L.;Le gisement Paléolithique supérieur de Plasenn-al-Lomm (Ile de Bréhat, Côtes-du-Nord);1982;
Monnier, J.-L.;Le gisement paléolithique moyen et supérieur de Karreg-Ar-Yellan (Ploubazlanec, Côtes-du-Nord);1989;
Monnier, J.-L.;Plouhinec, Finistère. Rapport de fin d'opération triennale de la fouille du gisement paléolithique inférieur de Menez-Dregan I. 2003-2005;2005;
Monnier, J.-L.;Rapport (1981) sur la fouille effectuée sur le gisement La Pointe de Saint-Colomban (Carnac, Morbihan);1981;
Monnier, J.-L.;Rapport (1982) sur la fouille effectuée sur le gisement La Pointe de Saint-Colomban (Carnac, Morbihan);1982;
Monnier, J.-L., Hallegouët, B., Hinguant, S., Van Vliet-Lanoe, B., Falguères, C., Laurent, M., Bahain, J.-J., Marguerie, D., Mercier, N., Geigl, E.-M., Molines, N.;Menez-Dregan (Plouhinec, Finistère) et la Paléolithique inférieur à l'ouest de la France;1998;
Monnier, J.-L., Halleguët, B., Hinguant, S., Molines, N.;Plouhinec, Finistère. Rapport intermédiaire sur la fouille du gisement paléolithique inférieur de Menez-Dregan I. Campagne 2004;2004;
Monnier, J.-L., Hinguant, S., Pigeaud, R., Arellano, A., Mélard, N., Merle, D., Molines, N., Moullé, P.-É.;Art mobilier et parures sur matières dures animales: collections anciennes et découvertes récentes dans le Paléolithique supérieur de la vallée de l’Erve (Mayenne);2005;
Monnier, J.-L., Huet, B.;Plouhinec, Finistère. Rapport sur la campagne de fouille 2008 et rapport triennal 2006-2008 sur le gisement paléolithique inférieur de Menez-Dregan I. (Fouille programmée triennale);2008;
Monnier, J.-L., Le Cloirec, R.;Le gisement paléolithique inférieur de La Pointe de Saint-Colomban, Carnac (Morbihan);1985;
Monnier, J.-L., Le Cloirec, R.;Une nouvelle station du paléolithique inférieur à Saint-Colomban (Carnac, Morbihan);1979;
Monnier, J.-L., Ravon, A.-L., Hinguant, S., Hallegouët, B., Gaillard, C., Laforge, M.;Menez-Dregan 1 (Plouhinec, Finistère, France): un site d’habitat du Paléolithique inférieur en grotte marine. Stratigraphie, structures de combustion, industries riches en galets aménagés;2016;
Montes Barquín, R.;El Paleolítico Inferior en Cantabria;2003;
Montes Barquín, R.;El primer poblamiento de la región cantábrica. El paleolítico inferior cantábrico;2003;
Montes Barquín, R.;El yacimiento al aire libre de "El Hondal" (Requejada de Polanco). Actuaciones arqueológicas y resultados geoarqueológicos;1999;
Montet-White, A.;Paleolithic Settlement Patterns in Northern Bosnia;1992;
Montet-White, A., Otte, M.;The Epigravettian Site of Grubgraben, Lower Austria: The 1986 & 1987 Excavations;1990;
Moore, J.M., Picker, M.D.;Heuweltjies (Earth Mounds) in the Clanwilliam District, Cape Province, South Africa: 4000-Year-Old Termite Nests;1991;
Moreau, L.;Breitenbach-Schneidemühle, Germany: A major Aurignacian open air settlement in Central Europe;2012;
Moreau, L.;Geißenklösterle, Das Gravettien der Schwäbischen Alb im europäischen Kontext;2009;
Moreau, L., Brandl, M., Nigst, P.R.;Did prehistoric foragers behave in an economically irrational manner? Raw material.availability and technological organisation at the early Gravettian site of Willendorf II (Austria);2016;
Moreau, L., Odar, B., Higham, T., Horvat, A., Pirkmajer, D., Turk, P.;Reassessing the Aurignacian of Slovenia: Techno-economic behaviour and direct dating of osseous projectile points;2015;
Morel, J.;Atérien de l'Oued Djebbana;1974;
Morel, J.;L'industrie atérienne de l'Ain Mansoura, région de Tébessa (Est algérien);1977;
Morel, J.;L'industrie atérienne de l'Oued Djouf El Djemel. Comparaison avec l'industrie de l'Oued Djebbana. Le complexe atérien du Maghreb Oriental;1978;
Morel, J.;La station éponyme de l'Oued Djebbana à Bir-el-Ater (est algérien);1974;
Moreno, A., González-Sampériz, P., Morellón, M., Valero-Garcés, B.L., Fletcher, W.J.;Northern Iberian abrupt climate change dynamics during the last glacial cycle: A view from lacustrine sediments;2012;
Moreno, D., Falguères, C., Pérez-González, A., Voinchet, P., Ghaleb, B., Despriée, J., Bahain, J.-J., Sala, R., Carbonell, E., Bermúdez de Castro, J.M., Arsuaga, J.L.;New radiometric dates on the lowest stratigraphical section (TD1 to TD6) of Gran Dolina site (Atapuerca, Spain);2015;
Morgan, C., Barton, L., Yi, M., Bettinger, R.L., Gao, X., Peng, F.;Redating Shuidonggou Locality 1 and Implications for the Initial Upper Paleolithic in East Asia;2014;
Morgan, L.E., Renne, P.R.;Diachronous dawn of Africa's Middle Stone Age: New 40Ar/39Ar ages from the Ethiopian Rift;2008;
Morgan, L.E., Renne, P.R., Taylor, R.E., WoldeGabriel, G.;Archaeological age constraints from extrusion ages of obsidian: Examples from the Middle Awash, Ethiopia;2009;
Morin, E.;Late Pleistocene population interaction in Western europe and modern human origins: new insights based on the faunal remains from Saint-Césaire, southwestern France;2006;
Morley, I.;The Prehistory of Music. Human Evolution, Archaeology, and the Origins of Musicality;2013;
Morley, R. J., Morley, H. P., Zaim, Y., Huffman, O. F.;Palaeoenvironmental setting of Mojokerto Homo erectus, the palynological expressions of Pleistocene marine deltas, open grasslands and volcanic mountains in East Java;2020;
Moroni, A., Boscato, P., Ronchitelli, A.;What roots for the Uluzzian? Modern behaviour in Central-Southern Italy and hypotheses on AMH dispersal routes;2013;
Moroni, A., Boschian, G., Crezzini, J., Montanari-Canini, G., Marciani, G., Capecchi, G., Arrighi, S., Aureli, D., Berto, C., Freguglia, M., Araujo, A., Scaramucci, S., Hublin, J.-J., Lauer, T., Benazzi, S., Parenti, F., Bonato, M., Ricci, S., Talamo, S., Segre, A.G., Boschin, F., Spagnolo, V.;Late Neandertals in central Italy. High-resolution chronicles from Grotta dei Santi (Monte Argentario - Tuscany);2019;
Moroni, A., Ronchitelli, A., Arrighi, S., Aureli, D., Bailey, S., Boscato, P., Boschin, F., Capecchi, G., Crezzini, J., Douka, K., Marciani, G., Panetta, D., Ranaldo, F., S., R., Scaramucci, S., Spagnolo, V., Benazzi, S., Gambassini, P.;Grotta del Cavallo (Apulia - Southern Italy). The Uluzzian in the mirror;2018;
Morris, B.S., Kathleen, K., Christine, S.;Early Pleistocene stone artefacts from Cooper’s Cave, South Africa;2017;
Morwood, M.J., Brown, P., Jatmiko, Sutikna, T., Wahyu Saptomo, E., Westaway, K.E., Awe Due, R., Roberts, R.G., Maeda, T., Wasisto, S., Djubiantono, T.;Further evidence for small-bodied hominins from the Late Pleistocene of Flores, Indonesia;2005;
Morwood, M.J., O'Sullivan, P.B., Aziz, F., Raza, A.;Fission-track ages of stone tools and fossils on the east Indonesian island of Flores;1998;
Morwood, M.J., Soejono, R.P., Roberts, R.G., Sutikna, T., Turney, C.S.M., Westaway, K.E., Rink, W.J., Zhao, J.-X., van den Bergh, G.D., Due Awe R., Hobbs, D.R., Moore, M.W., Bird, M.I., Fifield, L.K.;Archaeology and age of a new hominin from Flores in eastern Indonesia;2004;
Moser, J.;La Grotte d'Ifri n'Ammar, Vol. 1: L'Ibéromaurusien;2003;
Mosquera Martínez, M.;Procesos técnicos y variabilidad en la industria lítica del Pleistoceno Medio de la meseta: Sierra de Atapuerca, Torralba, Ambrona y Aridos;1995;
Mosquera, M., Ollé, A., Rodríguez-Álvarez, X.P., Carbonell, E.;Shedding light on the Early Pleistocene of TD6 (Gran Dolina, Atapuerca, Spain): The technological sequence and occupational inferences;2018;
Mosquera, M., Saladié, P., Ollé, A., Cáceres, I., Huguet, R., Villalaín, J.J., Carrancho, A., Bourlès, D., Braucher, R., Vallverdú, J.;Barranc de la Boella (Catalonia, Spain): an Acheulean elephant butchering site from the European late Early Pleistocene;2015;
Mourer-Chauvire, C., Geraads, D.;The Upper Pliocene Avifauna of Ahl al Oughlam, Morocco. Systematics and Biogeography;2010;
Mourne, R.W., Case, D.J., Viles, H.A., Bull, P.A.;The Sedimentary Sequence [Pontnewydd Cave];2012;
Mourre, V., Thiébaut, C.;L’industrie lithique du Moustérien final de la Grotte du Noisetier (Fréchet-Aure, Hautes-Pyrénées) dans le contexte des Pyrénées centrales françaises;2008;
Mouton, P., Joffroy, R.;Le Gisement Aurignacien de Rois à Mouthiers (Charente);1958;
Movius Jr., H.L.;Excavation of the Abri Pataud, Les Eyzies (Dordogne), Vol. 1;1975;
Movius Jr., H.L.;Excavation of the Abri Pataud, Les Eyzies (Dordogne). Stratigraphy;1977;
Movius, H.L.;Palaeolithic and Mesolithic sites in Soviet central Asia;1953;
Moyano, I.T., Barsky, D., Cauche, D., Celiberti, V., Grégoire, S., Lebegue, F., Moncel, M.H., de Lumley, H.;The archaic stone tool industry from Barranco León and Fuente Nueva 3, (Orce, Spain): Evidence of the earliest hominin presence in southern Europe;2011;
Mturi, A.A.;New hominid from Lake Ndutu, Tanzania;1976;
Mu, X.-n., Xu, H.-k., Mu, D.-c, Zhong, S.-l., Xu, Q.-q., Zhang, H., Zhang, Y.;Discovery of Homo erectus remains from Tangshan, Nanjing, and its significance;1993;
Munday, F.C.;Nahal Aqev (D35): A Stratified, Open-Air Mousterian Occupation in the Avdat/Avev Area;1977;
Museum, Y.P.;Materials of Human Origin and Prehistoric Culture of Yunnan [in Chinese];1991;
Musil, R.;Die Equiden-Reste aus den Travertinen von Weimar;1984;
Musil, R.;Die fossilen Equiden-Reste aus den Travertinen von Burgtonna in Thüringen;1978;
Mussi, M.;Earliest Italy: An Overview of the Italian Paleolithic and Mesolithic;2001;
Mussi, M., Gioia, P., Negrino, F.;Ten small sites: the diversity of the Italian Aurignacian;2006;
Mutri, G., Lucarini, G.;New Data on the Late Pleistocene of the Shakshuk Area, Jebel Gharbi, Libya;2008;
Muttoni Giovanni, K.D.V., Scardia Giancarlo, M.R.A.;Bottleneck at Jaramillo for human migration to Iberia and the rest of Europe?;1996;
